Name,Marital Status,Age,Income
Felicia,Married,66,57843
Meredith,Other,50,110083
Fatima,Other,24,51004
Keelie,Married,57,131309
Stewart,Single,29,98975
Luke,,33,123164
Aquila,,76,136927
Camden,Married,73,121504
Amy,Divorced,57,67377
Zane,Divorced,71,76052
Nissim,Single,58,146111
Kasimir,Single,76,77217
Dante,Married,57,104011
Christine,Single,77,106292
Marny,,63,69212
Aurora,Divorced,75,141166
Desiree,,48,73852
Kyle,Other,70,49942
Jacqueline,Divorced,34,131023
Derek,Divorced,40,47699
Aristotle,Single,47,138493
Shelly,Married,57,47490
Cherokee,Married,50,91966
Quon,Single,38,82629
Clarke,Single,67,86435
Herman,Other,69,133022
Ivy,Married,59,80526
Darius,Single,69,50822
Cruz,,38,111651
Shaeleigh,Married,59,130017
Abraham,,60,55881
Honorato,Other,39,119705
Calvin,Married,65,120972
Hunter,Other,71,47255
Hunter,Divorced,61,141007
Camden,,65,138280
Carson,Divorced,76,136197
Jayme,Single,37,105646
Nicole,Divorced,44,106818
Hilda,Other,38,86994
Donovan,Divorced,50,85573
Odysseus,Divorced,62,109744
Cameron,Married,24,65389
Silas,Single,32,58589
Bert,Divorced,51,63476
Elvis,Divorced,41,60956
Mechelle,,31,97223
Alan,Divorced,53,110235
Mikayla,Divorced,53,110289
Kuame,Divorced,54,46649
Abel,Single,66,137771
Myra,Other,40,138209
Beau,Other,40,89757
Richard,Divorced,47,91491
Isaiah,Single,56,86323
Ria,Divorced,62,66675
Plato,Other,41,60574
Len,Married,24,73711
Uma,Married,33,109088
Dara,Other,52,47840
George,Single,57,84217
Kaseem,Divorced,31,108113
Pamela,Married,60,71401
Kelly,Other,26,145463
Nerea,Single,55,74025
Camden,Married,77,117951
Florence,,27,79368
Miriam,,49,48457
Yetta,,47,101588
Aphrodite,Divorced,25,87755
Jena,Married,64,90840
Zahir,Other,40,83026
Lareina,Divorced,59,50125
Ciara,Other,77,71987
Shelly,,69,107254
Baker,Divorced,29,101845
Sigourney,Divorced,76,123656
Troy,Married,30,93630
Zachary,Single,42,59128
Irma,Married,69,139679
Hammett,Married,67,124076
Gray,Single,24,108214
Eleanor,Divorced,67,70785
Bo,,71,145115
Barrett,Married,77,82640
Gage,Married,66,120758
Kenneth,Divorced,42,51543
Nissim,Other,43,110769
Charlotte,Single,52,53937
Jerry,Single,77,46779
Caldwell,Other,72,116474
Abraham,Divorced,68,107390
Jaquelyn,Married,61,112153
Erin,Other,42,92859
Declan,,55,49545
Caleb,Single,33,141979
Maite,Other,71,50409
Kareem,Other,76,87349
Burton,Divorced,68,128319
Brandon,Other,60,68160
